iter;Cost;Best Cost;sim_time;eval_time;valid_runs;kp_pos_x;kp_pos_y;kp_pos_z;kd_pos_x;kd_pos_y;kd_pos_z;kp_or_x;kp_or_y;kp_or_z;kd_or_x;kd_or_y;kd_or_z
42;113.491;7.22693;40.1943;40.1943;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
43;112.899;7.22693;36.4291;36.4291;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
44;105.007;7.22693;36.934;36.9341;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
45;96.3965;7.22693;37.6111;37.6112;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
46;99.1631;7.22693;38.6555;38.6555;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
47;97.7998;7.22693;38.6954;38.6954;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
48;96.2874;7.22693;37.6061;37.6061;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
49;102.469;7.22693;42.8227;42.8227;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
50;98.2188;7.22693;36.5094;36.5094;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
51;114.16;7.22693;39.7946;39.7946;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
52;108.909;7.22693;39.4901;39.4901;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
53;98.5305;7.22693;37.8038;37.8038;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
54;102.371;7.22693;40.9311;40.9311;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
55;96.7014;7.22693;38.6965;38.6965;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
56;113.802;7.22693;39.8641;39.8642;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
57;101.362;7.22693;39.3278;39.3278;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
58;96.107;7.22693;37.1561;37.1561;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
59;107.352;7.22693;39.531;39.531;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
60;112.978;7.22693;41.3053;41.3053;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
61;113.886;7.22693;40.1632;40.1633;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
62;96.6201;7.22693;39.0943;39.0943;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
63;96.4106;7.22693;38.9019;38.9019;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
64;96.4212;7.22693;35.2944;35.2944;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
65;98.3442;7.22693;37.2237;37.2238;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
66;97.0192;7.22693;38.9283;38.9283;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
67;96.2385;7.22693;39.37;39.37;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
68;105.874;7.22693;38.6567;38.6567;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
69;98.5775;7.22693;39.2722;39.2722;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
70;96.5922;7.22693;38.3911;38.3912;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
71;96.9608;7.22693;37.3935;37.3935;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
72;98.2538;7.22693;41.7522;41.7522;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
73;98.7356;7.22693;39.875;39.875;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
74;97.8142;7.22693;38.3138;38.3138;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
75;111.874;7.22693;41.839;41.839;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
76;113.602;7.22693;41.8731;41.8731;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
77;102.142;7.22693;38.7748;38.7748;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
78;110.483;7.22693;41.0564;41.0564;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
79;104.061;7.22693;40.5874;40.5874;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
80;109.804;7.22693;42.0129;42.0129;1;115;115;115;55;55;55;40.25;40.25;40.25;10.025;10.025;10.025
81;7.29921;7.22693;74.2579;74.2579;1;171.667;115;171.667;43.8889;38.3333;38.3333;13.75;22.5833;75.5833;1.89722;3.375;1.15833
82;105.185;7.22693;29.1674;29.1674;1;190.556;190.556;171.667;34.6296;32.7778;71.6667;13.75;16.6944;22.5833;1.89722;1.15833;13.7194
83;112.33;7.22693;23.12;23.12;1;171.667;89.8148;39.4444;77.2222;40.1852;34.6296;22.5833;49.0833;78.5278;18.8917;5.59167;0.419444
84;96.616;7.22693;32.4475;32.4475;1;171.667;171.667;115;56.8519;38.3333;55;13.75;37.3056;40.25;18.1528;3.375;3.375
85;112.072;7.22693;25.2949;25.2949;1;190.556;190.556;77.2222;66.1111;30.9259;42.037;4.91667;57.9167;54.9722;1.15833;1.15833;5.59167
86;99.7501;7.22693;31.6707;31.6707;1;171.667;171.667;58.3333;56.8519;55;38.3333;40.25;10.8056;40.25;17.4139;3.375;10.025
87;104.194;7.22693;38.8345;38.8346;1;171.667;190.556;58.3333;30.3086;55;32.7778;13.75;22.5833;13.75;1.89722;3.375;3.375
88;99.1136;7.22693;40.0879;40.0879;1;190.556;171.667;58.3333;45.7407;55;38.3333;49.0833;22.5833;22.5833;12.9806;3.375;1.65093
89;97.352;7.22693;39.2149;39.2149;1;133.889;115;58.3333;55;43.8889;32.7778;40.25;22.5833;40.25;1.15833;3.375;3.375
90;111.354;7.22693;25.3962;25.3962;1;96.1111;171.667;58.3333;71.6667;38.3333;38.3333;13.75;7.86111;40.25;3.375;3.375;7.80833
91;104.109;7.22693;24.5398;24.5398;1;115;171.667;58.3333;71.6667;38.3333;38.3333;40.25;22.5833;49.0833;1.15833;10.025;3.375
92;117.078;7.22693;52.893;52.893;1;39.4444;173.765;196.852;30.9259;32.7778;55;16.6944;63.8056;1.97222;0.419444;7.80833;19.6306
93;111.35;7.22693;30.6106;30.6106;1;106.605;117.099;121.296;63.642;30.9259;36.4815;19.6389;37.3056;53.9907;13.4731;0.912037;6.57685
94;107.27;7.22693;44.169;44.169;1;115;115;58.3333;55;32.7778;42.037;13.75;13.75;13.75;3.375;10.025;1.89722
95;103.508;7.22693;30.3645;30.3645;1;96.1111;96.1111;83.5185;64.2593;30.3086;34.6296;7.86111;7.86111;54.9722;0.419444;4.11389;6.33056
96;108.383;7.22693;25.8138;25.8138;1;115;171.667;58.3333;69.8148;38.3333;38.3333;40.25;13.75;40.25;0.419444;5.59167;3.375
97;7.27041;7.22693;71.8755;71.8755;1;171.667;171.667;115;38.3333;38.3333;38.9506;13.75;49.0833;66.75;7.80833;10.025;10.025
98;97.7019;7.22693;33.986;33.986;1;171.667;171.667;77.2222;43.8889;38.3333;71.6667;22.5833;13.75;75.5833;5.59167;3.375;15.9361
99;97.6078;7.22693;23.1211;23.1211;1;108.704;165.37;37.3457;79.0741;55;38.3333;41.2315;52.0278;78.5278;19.8769;3.375;0.419444
100;103.325;7.22693;41.823;41.8231;1;115;171.667;64.6296;45.7407;32.7778;64.2593;13.75;22.5833;69.6944;6.33056;3.375;15.6898
101;122.854;7.22693;23.8843;23.8843;1;171.667;133.889;58.3333;73.5185;38.3333;38.3333;13.75;19.6389;13.75;3.375;10.025;3.375
102;104.845;7.22693;33.8612;33.8612;1;171.667;171.667;198.951;30.9259;35.8642;67.963;19.6389;10.8056;1.97222;2.63611;4.85278;19.8769
103;98.1794;7.22693;67.25;67.25;1;58.3333;171.667;58.3333;55;38.3333;38.3333;40.25;13.75;66.75;1.15833;3.375;5.59167
104;106.999;7.22693;36.5989;36.5989;1;115;171.667;171.667;38.3333;55;55;13.75;13.75;13.75;0.419444;10.025;15.1972
105;97.6075;7.22693;35.4336;35.4336;1;171.667;171.667;58.3333;55;38.3333;38.3333;13.75;75.5833;13.75;16.675;3.375;5.59167
106;114.169;7.22693;30.8674;30.8674;1;39.4444;45.7407;196.852;30.9259;75.3704;49.4444;57.9167;54.9722;1.97222;13.7194;15.6898;17.4139
107;112.362;7.22693;23.8429;23.843;1;115;115;58.3333;77.2222;38.3333;49.4444;13.75;13.75;22.5833;6.33056;3.375;3.375
108;99.075;7.22693;27.7919;27.7919;1;64.6296;41.5432;198.951;30.9259;53.1481;73.5185;62.8241;1.97222;1.97222;0.419444;9.28611;19.6306
109;7.21392;7.21392;72.9588;72.9588;1;171.667;171.667;115;38.3333;38.3333;38.3333;13.75;66.75;66.75;14.4583;3.375;14.4583
110;110.269;7.21392;83.2485;83.2486;1;171.667;159.074;31.0494;46.358;34.6296;58.7037;40.25;16.6944;52.0278;6.33056;3.375;7.06944
111;105.062;7.21392;29.2604;29.2604;1;58.3333;64.6296;133.889;32.7778;38.3333;79.0741;72.6389;10.8056;4.91667;1.15833;10.025;18.8917
112;101.326;7.21392;33.3466;33.3466;1;171.667;190.556;39.4444;55;38.3333;71.6667;13.75;4.91667;22.5833;1.15833;3.375;18.8917
113;103.784;7.21392;94.4343;94.4343;1;171.667;58.3333;58.3333;38.3333;38.3333;55;13.75;40.25;66.75;1.15833;3.375;5.59167
114;7.37725;7.21392;71.5026;71.5026;1;115;171.667;115;43.8889;43.8889;38.3333;13.75;40.25;66.75;3.375;3.375;1.15833
115;109.427;7.21392;62.417;62.417;1;110.802;173.765;140.185;30.9259;35.8642;55;13.75;1.97222;1.97222;0.419444;2.63611;19.6306
116;102.639;7.21392;25.6987;25.6987;1;39.4444;39.4444;96.1111;77.2222;55;71.6667;66.75;49.0833;25.5278;12.9806;18.8917;18.8917
117;7.4381;7.21392;71.7937;71.7937;1;115;152.778;49.9383;45.7407;38.3333;37.716;16.6944;53.0093;26.5093;19.8769;0.665741;1.15833
118;105.635;7.21392;22.8648;22.8649;1;140.185;68.8272;33.1481;79.6914;57.4691;30.3086;35.3426;25.5278;79.5093;19.6306;12.9806;0.173148
119;7.40732;7.21392;71.6954;71.6954;1;121.296;196.852;87.716;40.8025;30.9259;47.5926;10.8056;28.4722;26.5093;4.85278;8.30093;0.173148
120;100.334;7.21392;22.7292;22.7293;1;119.198;96.1111;87.716;79.6914;56.8519;46.9753;43.1944;78.5278;79.5093;19.8769;4.11389;0.173148
121;7.18118;7.18118;69.3666;69.3666;1;115;190.556;58.3333;45.7407;38.3333;38.3333;13.75;22.5833;25.5278;19.6306;3.375;8.54722
122;102.01;7.18118;26.7644;26.7644;1;165.37;133.889;87.716;63.0247;63.0247;47.5926;36.3241;53.0093;79.5093;19.6306;11.0102;0.419444
123;108.931;7.18118;52.2267;52.2268;1;133.889;171.667;58.3333;36.4815;55;38.3333;13.75;10.8056;66.75;4.11389;3.375;18.8917
124;113.385;7.18118;33.6148;33.6148;1;58.3333;52.037;180.062;30.9259;69.1975;55;66.75;10.8056;1.97222;0.419444;16.675;19.6306
125;119.919;7.18118;24.4526;24.4527;1;91.9136;150.679;31.0494;79.6914;62.4074;62.4074;34.3611;52.0278;79.5093;19.6306;13.2269;0.173148
126;7.85937;7.18118;73.1598;73.1598;1;140.185;133.889;89.8148;30.9259;47.5926;32.7778;31.4167;2.9537;53.0093;0.419444;2.14352;6.82315
127;96.454;7.18118;53.6497;53.6497;1;190.556;190.556;96.1111;32.7778;49.4444;49.4444;31.4167;4.91667;72.6389;0.419444;7.06944;14.4583
128;101.85;7.18118;33.0475;33.0475;1;115;171.667;58.3333;59.9383;38.3333;38.3333;13.75;13.75;16.6944;3.375;3.375;7.80833
129;7.33014;7.18118;72.3477;72.3477;1;98.2099;184.259;52.037;45.7407;38.3333;37.716;17.6759;25.5278;26.5093;6.57685;1.40463;13.4731
130;11.4328;7.18118;72.9631;72.9631;1;171.667;177.963;115;45.7407;38.3333;38.3333;16.6944;26.5093;26.5093;6.57685;3.1287;13.4731
131;11.5263;7.18118;72.9694;72.9694;1;129.691;148.58;121.296;47.5926;47.5926;36.4815;22.5833;79.5093;61.8426;0.419444;0.419444;4.60648
132;99.4487;7.18118;35.432;35.432;1;31.0494;140.185;198.951;30.3086;57.4691;52.5309;47.1204;19.6389;78.5278;19.8769;19.8769;12.9806
133;7.01781;7.01781;69.3753;69.3753;1;33.1481;198.951;196.852;30.3086;30.3086;30.9259;27.4907;26.5093;78.5278;19.6306;15.6898;0.173148
